t,rpm_ref,rpm,theta_e,va,vb,vc,duty_a,duty_b,duty_c,ia,ib,ic,ialpha,ibeta,id_ref,id_true,iq_ref,iq_true,Te
0.11577900,14000.00000000,10790.95630667,5.79094195,80.47447205,180.75262451,-261.22711182,0.75148273,0.96039557,0.03960446,-0.76419175,18.50212373,-17.73793198,-0.76419175,20.92320592,-11.08063126,-10.56185572,17.91380692,18.07793514,6.95777078
0.11579900,14000.00000000,10797.31735573,5.90397950,80.47447205,180.75262451,-261.22711182,0.75148273,0.96039557,0.03960446,-2.26083839,18.91449152,-16.65365313,-2.26083839,20.53527789,-11.08063126,-9.70203292,17.91380692,18.23950617,7.01642704
0.11581900,14000.00000000,10803.65851986,6.01708366,6.05680847,229.00738525,-235.06417847,0.51892751,0.98340786,0.01659212,-5.43620213,20.20192463,-14.76572251,-5.43620213,20.18858049,-11.08063126,-10.55390359,17.91380692,18.04844023,6.94638659
0.11583900,14000.00000000,10809.99518953,6.13025412,6.05680847,229.00738525,-235.06417847,0.51892751,0.98340786,0.01659212,-7.39099405,20.59033313,-13.19933908,-7.39099405,19.50847634,-11.08063126,-10.27657089,17.91380692,18.15487629,6.98621826
0.11585900,14000.00000000,10816.36199378,6.24349116,-69.15273285,259.16189575,-190.00915527,0.28389770,0.96788651,0.03211349,-9.53856052,20.77980783,-11.24124731,-9.53856052,18.48736480,-11.08063126,-10.26469444,17.91380692,18.09427650,6.96285038
0.11587900,14000.00000000,10822.68861658,0.07360931,-69.15273285,259.16189575,-190.00915527,0.28389770,0.96788651,0.03211349,-11.86277384,20.87582843,-9.01305460,-11.86277384,17.25635467,-11.08063126,-10.56156849,17.91380692,18.08204774,6.95935245
0.11589900,14000.00000000,10829.05089034,0.18697917,-69.15273285,259.16189575,-190.00915527,0.28389770,0.96788651,0.03211349,-12.92242354,20.42534549,-7.50292196,-12.92242354,16.12439273,-11.08063126,-9.69980036,17.91380692,18.24551846,7.01873070
0.11591900,14000.00000000,10835.39316698,0.30041566,-139.14102173,268.71694946,-129.57592773,0.07514796,0.92485201,0.09507522,-15.42680409,19.94156844,-4.51476435,-15.42680409,14.11987032,-11.08063126,-10.55757912,17.91380692,18.05254955,6.94798309
0.11593900,14000.00000000,10841.73075616,0.41391844,-139.14102173,268.71694946,-129.57592773,0.07514796,0.92485201,0.09507522,-16.71529036,19.17542634,-2.46013598,-16.71529036,12.49129773,-11.08063126,-10.27971599,17.91380692,18.15931964,6.98794097
0.11595900,14000.00000000,10848.09852728,0.52748782,-198.27226257,256.77651978,-58.50424957,0.02599087,0.97400916,0.31717420,-17.98240432,18.05777540,-0.07537108,-17.98240432,10.46917700,-11.08063126,-10.26832500,17.91380692,18.09784612,6.96423878
