t,rpm_ref,rpm,theta_e,va,vb,vc,duty_a,duty_b,duty_c,ia,ib,ic,ialpha,ibeta,id_ref,id_true,iq_ref,iq_true,Te
0.00183900,0.00000000,-8.23946810,-0.00408590,-0.00076986,-0.18437800,0.18514785,0.49999759,0.49961507,0.50038493,0.00014839,0.03098492,-0.03113331,0.00014839,0.03586397,0.00000000,0.00000185,0.03581156,0.03586428,0.01371809
0.00185900,0.00000000,-8.32168891,-0.00417264,-0.00083665,-0.18911883,0.18995547,0.49999738,0.49960512,0.50039488,0.00015151,0.03098353,-0.03113504,0.00015151,0.03586418,0.00000000,0.00000186,0.03581156,0.03586450,0.01371817
0.00187900,0.00000000,-8.40392106,-0.00426024,-0.00083665,-0.18911883,0.18995547,0.49999738,0.49960512,0.50039488,0.00015443,0.03096467,-0.03111910,0.00015443,0.03584408,0.00000000,0.00000173,0.03581156,0.03584441,0.01371049
0.00189900,0.00000000,-8.48614358,-0.00434869,-0.00083665,-0.18911883,0.18995547,0.49999738,0.49960512,0.50039488,0.00015844,0.03101434,-0.03117277,0.00015844,0.03590374,0.00000000,0.00000230,0.03581156,0.03590409,0.01373332
0.00191900,0.00000000,-8.56836562,-0.00443801,-0.00090753,-0.19383982,0.19474736,0.49999717,0.49959522,0.50040478,0.00016102,0.03096113,-0.03112216,0.00016102,0.03584381,0.00000000,0.00000195,0.03581156,0.03584417,0.01371039
0.00193900,0.00000000,-8.65059256,-0.00452819,-0.00090753,-0.19383982,0.19474736,0.49999717,0.49959522,0.50040478,0.00016474,0.03097661,-0.03114135,0.00016474,0.03586382,0.00000000,0.00000234,0.03581156,0.03586420,0.01371806
0.00195900,0.00000000,-8.73280529,-0.00461923,-0.00098530,-0.19856019,0.19954549,0.49999693,0.49958530,0.50041467,0.00016824,0.03097469,-0.03114294,0.00016824,0.03586363,0.00000000,0.00000258,0.03581156,0.03586402,0.01371799
0.00197900,0.00000000,-8.81502938,-0.00471113,-0.00098530,-0.19856019,0.19954549,0.49999693,0.49958530,0.50041467,0.00017157,0.03095567,-0.03112724,0.00017157,0.03584358,0.00000000,0.00000271,0.03581156,0.03584400,0.01371033
0.00199900,0.00000000,-8.89724383,-0.00480390,-0.00098530,-0.19856019,0.19954549,0.49999693,0.49958530,0.50041467,0.00017609,0.03100511,-0.03118120,0.00017609,0.03590329,0.00000000,0.00000361,0.03581156,0.03590372,0.01373317
0.00201900,0.00000000,-8.97884886,-0.00489752,-0.00064806,-0.12772305,0.12837110,0.49999797,0.49973324,0.50026679,0.00019343,0.03369223,-0.03388566,0.00019343,0.03901611,0.00000000,0.00000234,0.04664549,0.03901659,0.01492385
0.00203900,0.00000000,-9.05930315,-0.00499199,-0.00064806,-0.12772305,0.12837110,0.49999797,0.49973324,0.50026679,0.00021189,0.03643329,-0.03664518,0.00021189,0.04219188,0.00000000,0.00000127,0.04664549,0.04219241,0.01613860
0.00205900,0.00000000,-9.13870875,-0.00508729,-0.00098222,-0.18676968,0.18775190,0.49999693,0.49960989,0.50039011,0.00022553,0.03815486,-0.03838039,0.00022553,0.04418764,0.00000000,0.00000073,0.04664549,0.04418822,0.01690199
0.00207900,0.00000000,-9.21772215,-0.00518343,-0.00098222,-0.18676968,0.18775190,0.49999693,0.49960989,0.50039011,0.00023442,0.03886409,-0.03909851,0.00023442,0.04501172,0.00000000,0.00000110,0.04664549,0.04501233,0.01721722
0.00209900,0.00000000,-9.29641908,-0.00528039,-0.00098222,-0.18676968,0.18775190,0.49999693,0.49960989,0.50039011,0.00024456,0.03963528,-0.03987984,0.00024456,0.04590807,0.00000000,0.00000215,0.04664549,0.04590872,0.01756009
0.00211900,0.00000000,-9.37492690,-0.00537817,-0.00115361,-0.20578460,0.20693822,0.49999639,0.49957007,0.50042993,0.00024963,0.03977773,-0.04002735,0.00024963,0.04607548,0.00000000,0.00000182,0.04664549,0.04607616,0.01762413
0.00213900,0.00000000,-9.45335757,-0.00547678,-0.00115361,-0.20578460,0.20693822,0.49999639,0.49957007,0.50042993,0.00025601,0.03998462,-0.04024063,0.00025601,0.04631807,0.00000000,0.00000233,0.04664549,0.04631878,0.01771693
0.00215900,0.00000000,-9.53170139,-0.00557620,-0.00126797,-0.21412660,0.21539457,0.49999604,0.49955258,0.50044739,0.00026168,0.04010420,-0.04036588,0.00026168,0.04645943,0.00000000,0.00000261,0.04664549,0.04646016,0.01777101
0.00217900,0.00000000,-9.61002735,-0.00567645,-0.00126797,-0.21412660,0.21539457,0.49999604,0.49955258,0.50044739,0.00026667,0.04013724,-0.04040390,0.00026667,0.04650045,0.00000000,0.00000271,0.04664549,0.04650121,0.01778671
