t,id_ref,iq_ref,id,iq,ia,ib,ic,vd_cmd,vq_cmd,va_ref,vb_ref,vc_ref,da,db,dc,va,vb,vc,torque_e,omega_m
0.002650000,0.000000000,3.312500000,0.000628713,3.109031372,-0.060188991,2.722090096,-2.661901105,-0.020120349,0.860531908,-0.036949867,0.763233972,-0.726284105,0.499230211,0.515900708,0.484869081,-0.036949867,0.763233972,-0.726284105,0.489672441,3.993096843
0.002700000,0.000000000,3.375000000,0.000664919,3.171429239,-0.065907171,2.778898792,-2.712991621,-0.021468588,0.883306898,-0.040005485,0.784410129,-0.744404644,0.499166552,0.516341878,0.484491570,-0.040005485,0.784410129,-0.744404644,0.499500105,4.178198903
0.002750000,0.000000000,3.437500000,0.000702560,3.233828334,-0.072013980,2.835890046,-2.763876067,-0.022875340,0.906511010,-0.043253503,0.806044350,-0.762790848,0.499098885,0.516792591,0.484108524,-0.043253503,0.806044350,-0.762790848,0.509327963,4.367388596
0.002800000,0.000000000,3.500000000,0.000741676,3.296228650,-0.078526316,2.893070809,-2.814544493,-0.024341863,0.930144229,-0.046702951,0.828140104,-0.781437152,0.499027022,0.517252919,0.483720059,-0.046702951,0.828140104,-0.781437152,0.519156012,4.560665831
0.002850000,0.000000000,3.562500000,0.000782306,3.358630179,-0.085461428,2.950448070,-2.864986642,-0.025869414,0.954206541,-0.050363162,0.850700918,-0.800337757,0.498950767,0.517722936,0.483326297,-0.050363162,0.850700918,-0.800337757,0.528984253,4.758030516
0.002900000,0.000000000,3.625000000,0.000824493,3.421032912,-0.092836913,3.008028851,-2.915191938,-0.027459256,0.978697930,-0.054243771,0.873730383,-0.819486611,0.498869921,0.518202716,0.482927362,-0.054243771,0.873730383,-0.819486611,0.538812684,4.959482561
0.002950000,0.000000000,3.687500000,0.000868278,3.483436843,-0.100670714,3.065820194,-2.965149480,-0.029112650,1.003618380,-0.058354730,0.897232140,-0.838877411,0.498784276,0.518692336,0.482523387,-0.058354730,0.897232140,-0.838877411,0.548641303,5.165021874
0.003000000,0.000000000,3.750000000,0.000913706,3.545841965,-0.108981122,3.123829153,-3.014848031,-0.030830861,1.028967875,-0.062706303,0.921209888,-0.858503585,0.498693619,0.519191873,0.482114509,-0.062706303,0.921209888,-0.858503585,0.558470109,5.374648362
0.003050000,0.000000000,3.812500000,0.000960818,3.608248271,-0.117786772,3.182062784,-3.064276012,-0.032615154,1.054746398,-0.067309080,0.945667369,-0.878358289,0.498597727,0.519701404,0.481700869,-0.067309080,0.945667369,-0.878358289,0.568299103,5.588361933
0.003100000,0.000000000,3.875000000,0.001009660,3.670655755,-0.127106643,3.240528131,-3.113421489,-0.034466797,1.080953932,-0.072173976,0.970608368,-0.898434393,0.498496376,0.520221008,0.481282617,-0.072173976,0.970608368,-0.898434393,0.578128281,5.806162493
0.003150000,0.000000000,3.937500000,0.001060277,3.733064411,-0.136960053,3.299232218,-3.162272165,-0.036387059,1.107590461,-0.077312237,0.996036711,-0.918724474,0.498389328,0.520750765,0.480859907,-0.077312237,0.996036711,-0.918724474,0.587957645,6.028049948
0.003200000,0.000000000,4.000000000,0.001112713,3.795474234,-0.147366663,3.358182034,-3.210815370,-0.038377210,1.134655967,-0.082735447,1.021956253,-0.939220807,0.498276345,0.521290755,0.480432900,-0.082735447,1.021956253,-0.939220807,0.597787192,6.254024204
0.003250000,0.000000000,4.062500000,0.001167017,3.857885218,-0.158346471,3.417384521,-3.259038050,-0.040438523,1.162150433,-0.088455529,1.048370877,-0.959915348,0.498157176,0.521841060,0.480001764,-0.088455529,1.048370877,-0.959915348,0.607616922,6.484085167
0.003300000,0.000000000,4.125000000,0.001223234,3.920297360,-0.169919809,3.476846563,-3.306926755,-0.042572272,1.190073839,-0.094484752,1.075284486,-0.980799733,0.498031568,0.522401760,0.479566672,-0.094484752,1.075284486,-0.980799733,0.617446834,6.718232742
0.003350000,0.000000000,4.187500000,0.001281413,3.982710654,-0.182107344,3.536574972,-3.354467628,-0.044779732,1.218426168,-0.100835735,1.102700994,-1.001865260,0.497899256,0.522972937,0.479127807,-0.100835735,1.102700994,-1.001865260,0.627276928,6.956466834
0.003400000,0.000000000,4.250000000,0.001341601,4.045125096,-0.194930073,3.596576471,-3.401646398,-0.047062181,1.247207401,-0.107521447,1.130624326,-1.023102878,0.497759970,0.523554673,0.478685357,-0.107521447,1.130624326,-1.023102878,0.637107203,7.198787347
0.003450000,0.000000000,4.312500000,0.001403848,4.107540683,-0.208409321,3.656857682,-3.448448361,-0.049420899,1.276417520,-0.114555219,1.159058399,-1.044503181,0.497613433,0.524147050,0.478239517,-0.114555219,1.159058399,-1.044503181,0.646937658,7.445194186
0.003500000,0.000000000,4.375000000,0.001468203,4.169957411,-0.222566737,3.717425110,-3.494858373,-0.051857165,1.306056504,-0.121950737,1.188007126,-1.066056388,0.497459360,0.524750148,0.477790492,-0.121950737,1.188007126,-1.066056388,0.656768292,7.695687254
0.003550000,0.000000000,4.437500000,0.001534717,4.232375279,-0.237424292,3.778285129,-3.540860837,-0.054372262,1.336124334,-0.129722056,1.217474396,-1.087752340,0.497297457,0.525364050,0.477338493,-0.129722056,1.217474396,-1.087752340,0.666599106,7.950266455
0.003600000,0.000000000,4.500000000,0.001603440,4.294794282,-0.253004275,3.839443963,-3.586439687,-0.056967473,1.366620990,-0.137883595,1.247464073,-1.109580478,0.497127425,0.525988835,0.476883740,-0.137883595,1.247464073,-1.109580478,0.676430099,8.208931693
0.003650000,0.000000000,4.562500000,0.001674424,4.357214418,-0.269329288,3.900907668,-3.631578381,-0.059644086,1.397546452,-0.146450143,1.277979982,-1.131529838,0.496948955,0.526624583,0.476426462,-0.146450143,1.277979982,-1.131529838,0.686261271,8.471682871
0.003700000,0.000000000,4.625000000,0.001747721,4.419635687,-0.286422241,3.962682121,-3.676259880,-0.062403386,1.428900699,-0.155436864,1.309025899,-1.153589035,0.496761732,0.527271373,0.475966895,-0.155436864,1.309025899,-1.153589035,0.696092621,8.738519892
0.003750000,0.000000000,4.687500000,0.001823384,4.482058087,-0.304306351,4.024772993,-3.720466642,-0.065246663,1.460683709,-0.164859294,1.340605541,-1.175746246,0.496565431,0.527929282,0.475505287,-0.164859294,1.340605541,-1.175746246,0.705924149,9.009442659
0.003800000,0.000000000,4.750000000,0.001901465,4.544481616,-0.323005134,4.087185736,-3.764180602,-0.068175208,1.492895463,-0.174733348,1.372722552,-1.197989204,0.496359722,0.528598387,0.475041892,-0.174733348,1.372722552,-1.197989204,0.715755855,9.284451075
0.003850000,0.000000000,4.812500000,0.001982019,4.606906274,-0.342542399,4.149925562,-3.807383164,-0.071190313,1.525535937,-0.185075318,1.405380495,-1.220305177,0.496144264,0.529278760,0.474576975,-0.185075318,1.405380495,-1.220305177,0.725587738,9.563545043
0.003900000,0.000000000,4.875000000,0.002065100,4.669332061,-0.362942243,4.212997423,-3.850055179,-0.074293271,1.558605110,-0.195901878,1.438582833,-1.242680955,0.495918711,0.529970476,0.474110813,-0.195901878,1.438582833,-1.242680955,0.735419800,9.846724465
0.003950000,0.000000000,4.937500000,0.002150764,4.731758976,-0.384229049,4.276405987,-3.892176938,-0.077485379,1.592102960,-0.207230081,1.472332920,-1.265102839,0.495682707,0.530673603,0.473643691,-0.207230081,1.472332920,-1.265102839,0.745252039,10.133989245
0.004000000,0.000000000,5.000000000,0.002239065,4.794187020,-0.406427469,4.340155623,-3.933728153,-0.080767934,1.626029464,-0.219077362,1.506633985,-1.287556623,0.495435888,0.531388208,0.473175904,-0.219077362,1.506633985,-1.287556623,0.755084456,10.425339284
0.004050000,0.000000000,5.062500000,0.002330060,4.856616195,-0.429562428,4.404250370,-3.974687942,-0.084142234,1.660384598,-0.231461538,1.541489116,-1.310027578,0.495177885,0.532114357,0.472707759,-0.231461538,1.541489116,-1.310027578,0.764917051,10.720774486
0.004100000,0.000000000,5.125000000,0.002423805,4.919046501,-0.453659109,4.468693923,-4.015034815,-0.087609581,1.695168340,-0.244400807,1.576901245,-1.332500439,0.494908317,0.532852109,0.472239574,-0.244400807,1.576901245,-1.332500439,0.774749824,11.020294753
0.004150000,0.000000000,5.187500000,0.002520358,4.981477940,-0.478742946,4.533489602,-4.054746656,-0.091171276,1.730380666,-0.257913747,1.612873132,-1.354959385,0.494626797,0.533601524,0.471771679,-0.257913747,1.612873132,-1.354959385,0.784582776,11.323899987
0.004200000,0.000000000,5.250000000,0.002619777,5.043910514,-0.504839617,4.598640330,-4.093800713,-0.094828624,1.766021551,-0.272019317,1.649407346,-1.377388028,0.494332931,0.534362653,0.471304416,-0.272019317,1.649407346,-1.377388028,0.794415906,11.631590092
0.004250000,0.000000000,5.312500000,0.002722119,5.106344225,-0.531975033,4.664148608,-4.132173575,-0.098582930,1.802090972,-0.286736852,1.686506246,-1.399769394,0.494026316,0.535135547,0.470838138,-0.286736852,1.686506246,-1.399769394,0.804249215,11.943364970
